"","rep","dtype","optim_method","optim_model","dfe","tsigma","masked","file","tsigma_estim"
"115",5,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",68638.3110295609
"116",6,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",67145.5663957602
"117",7,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",68631.1652378502
"118",8,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",Inf
"119",9,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",84820.2481643354
"120",10,"s","BW","OT","1",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__1e+05_msak_mhs_masked_.csv",91970.4559708906
"121",1,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",28244.5997036094
"122",2,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",20153.3298758455
"123",3,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",27511.9186985486
"124",4,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",23753.9134233856
"125",5,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",21471.83708527
"126",6,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",31052.7514347429
"127",7,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",21432.2153912875
"128",8,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",19993.323288551
"129",9,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",24705.0577632697
"130",10,"s","BW","OT","1",20000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_.csv",33796.9785026824
"131",1,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",31225.1369666083
"132",2,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",21703.2764035478
"133",3,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",30162.5307720787
"134",4,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",22227.726567533
"135",5,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",26748.4773011135
"136",6,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",38659.4920471643
"137",7,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",27606.1041924928
"138",8,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",21669.220366371
"139",9,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",26824.9710624134
"140",10,"s","BW","OT","1",20000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__20000_msak_mhs_masked_.csv",31615.6372631254
"141",1,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",68976.1562631058
"142",2,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",40180.5058434609
"143",3,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",38450.1041781364
"144",4,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",48834.669185009
"145",5,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",57843.656642766
"146",6,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",37791.672115547
"147",7,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",47248.1792563314
"148",8,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",40396.0294425388
"149",9,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",37911.7911893639
"150",10,"s","BW","OT","1",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_.csv",42456.6564663214
"151",1,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",75133.9558685638
"152",2,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",42991.3502520372
"153",3,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",41328.212082224
"154",4,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",52815.4403018158
"155",5,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",75950.1352191448
"156",6,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",41140.7143693387
"157",7,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",62213.3122181763
"158",8,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",43279.7124582808
"159",9,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",41180.6913959107
"160",10,"s","BW","OT","1",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__40000_msak_mhs_masked_.csv",39388.9195443322
